antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({""Boss's Orders PAL 172""})",frozenset({'Arven OBF 186'}),0.9541284403669725,0.42660550458715596,0.42201834862385323,0.4423076923076923,1.0368072787427627,1.0,0.014981903880144753,1.0281556469471687,0.7739130434782608,0.44019138755980863,0.02738461538461536,0.7157775020678246
frozenset({'Arven OBF 186'}),"frozenset({""Boss's Orders PAL 172""})",0.42660550458715596,0.9541284403669725,0.42201834862385323,0.989247311827957,1.0368072787427625,1.0,0.014981903880144753,4.266055045871559,0.0619130434782608,0.44019138755980863,0.7655913978494623,0.7157775020678246
frozenset({'Counter Catcher PAR 160'}),"frozenset({""Boss's Orders PAL 172""})",0.5412844036697247,0.9541284403669725,0.518348623853211,0.9576271186440678,1.0036668839634941,1.0,0.0018937799848497416,1.0825688073394484,0.007964601769911426,0.5305164319248825,0.07627118644067694,0.7504481747066493
"frozenset({""Boss's Orders PAL 172""})",frozenset({'Counter Catcher PAR 160'}),0.9541284403669725,0.5412844036697247,0.518348623853211,0.5432692307692307,1.0036668839634941,1.0,0.0018937799848497416,1.0043457267020763,0.07964601769911435,0.5305164319248825,0.004326923076923039,0.7504481747066493
"frozenset({""Boss's Orders PAL 172""})",frozenset({'Pal Pad SVI 182'}),0.9541284403669725,0.48623853211009177,0.481651376146789,0.5048076923076923,1.0381894049346878,1.0,0.01771736385826106,1.0374988866126302,0.8019047619047616,0.5023923444976076,0.03614354395604387,0.7476868650217706
frozenset({'Pal Pad SVI 182'}),"frozenset({""Boss's Orders PAL 172""})",0.48623853211009177,0.9541284403669725,0.481651376146789,0.990566037735849,1.0381894049346878,1.0,0.01771736385826106,4.862385321100856,0.07159863945578218,0.5023923444976076,0.7943396226415068,0.7476868650217706
frozenset({'Nest Ball SVI 181'}),frozenset({'Buddy-Buddy Poffin TEF 144'}),0.9495412844036697,0.44954128440366975,0.43577981651376146,0.45893719806763283,1.0209011140688158,1.0,0.008921807928625514,1.017365661861075,0.40574162679425707,0.4523809523809524,0.017069243156199603,0.7141624765848368
frozenset({'Buddy-Buddy Poffin TEF 144'}),frozenset({'Nest Ball SVI 181'}),0.44954128440366975,0.9495412844036697,0.43577981651376146,0.9693877551020408,1.020901114068816,1.0,0.008921807928625514,1.6483180428134547,0.03719298245614026,0.4523809523809524,0.3933209647495359,0.7141624765848368
frozenset({'Ultra Ball SVI 196'}),frozenset({'Buddy-Buddy Poffin TEF 144'}),0.8440366972477065,0.44954128440366975,0.4036697247706422,0.4782608695652174,1.0638864241348713,1.0,0.024240383806076904,1.0550458715596331,0.38502673796791415,0.45360824742268047,0.05217391304347824,0.6881100266193434
frozenset({'Buddy-Buddy Poffin TEF 144'}),frozenset({'Ultra Ball SVI 196'}),0.44954128440366975,0.8440366972477065,0.4036697247706422,0.8979591836734694,1.0638864241348713,1.0,0.024240383806076904,1.5284403669724766,0.10909090909090896,0.45360824742268047,0.34573829531812705,0.6881100266193434
frozenset({'Iono PAL 185'}),frozenset({'Counter Catcher PAR 160'}),0.7247706422018348,0.5412844036697247,0.42201834862385323,0.5822784810126582,1.0757348208538942,1.0,0.029711303762309627,1.098137336669447,0.2557971014492758,0.5000000000000001,0.08936708860759497,0.6809697489809055
frozenset({'Counter Catcher PAR 160'}),frozenset({'Iono PAL 185'}),0.5412844036697247,0.7247706422018348,0.42201834862385323,0.7796610169491526,1.0757348208538942,1.0,0.029711303762309627,1.249117854622442,0.15347826086956548,0.5000000000000001,0.19943502824858772,0.6809697489809055
frozenset({'Counter Catcher PAR 160'}),frozenset({'Nest Ball SVI 181'}),0.5412844036697247,0.9495412844036697,0.5321100917431193,0.9830508474576273,1.035290264472284,1.0,0.018138203854894397,2.9770642201835154,0.0743103448275863,0.5550239234449762,0.6640986132511589,0.7717186604437896
