Pokémon: 12
4 Raging Bolt ex TEF 123
3 Teal Mask Ogerpon ex TWM 25
1 Radiant Greninja ASR 46
1 Squawkabilly ex PAL 169
1 Fezandipiti ex SFA 38
1 Slither Wing PAR 107
1 Iron Bundle PAR 56

Trainer: 37
4 Professor Sada's Vitality PAR 170
1 Iono PAL 185
1 Briar SCR 132
4 Earthen Vessel PAR 163
4 Nest Ball SVI 181
3 Energy Retrieval SVI 171
3 Pokémon Catcher SVI 187
2 Switch Cart ASR 154
2 Ultra Ball SVI 196
2 Night Stretcher SFA 61
2 Trekking Shoes ASR 156
2 Pokégear 3.0 SVI 186
1 Prime Catcher TEF 157
1 Lost Vacuum LOR 162
1 Pal Pad SVI 182
2 Bravery Charm PAL 173
2 PokéStop PGO 68

Energy: 11
5 Grass Energy SVE 9
3 Lightning Energy SVE 12
3 Fighting Energy SVE 14
