Pokémon: 13
3 Roaring Moon ex PAR 124
1 Roaring Moon TEF 109
1 Koraidon SSP 116
1 Pecharunt PR-SV 149
1 Pecharunt ex SFA 39
1 Fezandipiti ex SFA 38
1 Squawkabilly ex PAL 169
1 Lumineon V BRS 40
1 Iron Bundle PAR 56
1 Latias ex SSP 76
1 Radiant Greninja ASR 46

Trainer: 38
4 Professor Sada's Vitality PAR 170
1 Judge SVI 176
1 Boss's Orders PAL 172
4 Nest Ball SVI 181
4 Trekking Shoes ASR 156
4 Earthen Vessel PAR 163
4 Dark Patch ASR 139
3 Pokémon Catcher SVI 187
3 Ultra Ball SVI 196
2 Energy Switch SVI 173
2 Night Stretcher SFA 61
1 Scramble Switch SSP 186
1 Pal Pad SVI 182
4 PokéStop PGO 68

Energy: 9
6 Darkness Energy SVE 15
3 Water Energy SVE 11
